Date,Close,High,Low,Open,Volume
2000-01-03,23.76528358,25.18617091,22.45756428,25.07300289,98114800
2000-01-04,21.66539001,23.86587942,21.12469833,23.23716816,116824800
2000-01-05,20.52113533,21.40133109,19.31400972,20.44568998,166054000
2000-01-06,19.31401634,21.12470537,19.04995752,20.1502026,109880000
2000-01-07,20.79776382,20.82291227,18.82361091,19.11281802,91755600
2000-01-10,23.28746796,23.33776486,21.22529477,21.72826384,91518000
2000-01-11,22.60845757,23.08627814,22.03004319,22.65875447,86585200
2000-01-12,21.2504425,22.5833105,20.86064149,22.5833105,83443600
2000-01-13,21.13727188,22.10548719,20.82291626,21.82885424,55779200
2000-01-14,21.48934937,22.40726774,21.07439996,21.92944722,57078000
2000-01-18,22.38212585,23.03598571,21.25044533,21.70311754,66780000
2000-01-19,22.98568344,23.43835554,21.72826093,22.58330824,49198400
2000-01-20,23.84073067,24.24310587,23.38805857,23.74013687,54526800
2000-01-21,24.01676941,24.74607445,23.74013646,24.74607445,50891000
2000-01-24,21.80370712,24.29340378,21.72826177,24.24310688,50022400
2000-01-25,22.70904541,23.13656897,22.0803343,22.15577963,53059200
2000-01-26,22.15578842,23.7149926,22.13063997,22.83479669,47569200
2000-01-27,20.84806633,22.80964555,20.11876124,22.45756723,61054000
2000-01-28,19.06253242,20.89836998,18.76075091,20.72233076,86394000
2000-01-31,20.09989738,20.16905562,18.93678165,19.28885992,68148000
2000-02-01,21.72826767,21.85400996,20.11876636,20.62173552,57105600
2000-02-02,21.85400581,22.53301405,21.72826355,22.10549035,63933000
2000-02-03,22.80964661,22.93538887,21.82885695,22.2815291,55533200
2000-02-04,23.26231194,23.43835105,22.85993681,23.1868666,40916000
2000-02-07,24.11736679,24.14251524,23.68984308,23.86588226,44691200
2000-02-08,23.96647072,24.72092415,23.74013469,24.44429123,55718000
2000-02-09,24.11736679,24.67063277,23.66469463,24.1676637,52471600
2000-02-10,25.07300377,25.19874601,23.33776078,24.14251115,45288600
2000-02-11,24.01676941,26.05379383,23.63954266,25.14844964,55774000
2000-02-14,25.0227108,25.04785925,23.58924898,24.49459329,37599800
2000-02-15,24.69577789,25.42508294,23.79043369,24.79637169,47971400
2000-02-16,24.64548302,25.17360051,24.19281088,24.54488921,33489200
2000-02-17,24.79637337,25.2490455,24.14251362,24.84667027,40392600
2000-02-18,23.56410217,24.94726719,23.48865681,24.82152491,63888400
2000-02-22,23.86587715,24.72092438,22.65875165,23.79043181,75546200
2000-02-23,25.37479591,25.45652841,23.99163063,24.21796676,69664400
2000-02-24,24.92211533,26.1795379,24.24310714,25.42508435,70963200
