Date,Open,High,Low,Close,Volume
2000-01-03,0.09026149336822288,0.09097762122659772,0.08429131090608731,0.08942524343729019,300912000
2000-01-04,0.08787283787124749,0.08811215280865539,0.08261970078644013,0.08703750371932983,300480000
2000-01-05,0.08453062143484433,0.08596287695954438,0.08297824385369346,0.08417209982872009,188352000
2000-01-06,0.08417207291218304,0.08417207291218304,0.07545658276305793,0.07867962121963501,120480000
2000-01-07,0.0783220139179831,0.08082891796917722,0.07712815834393023,0.0799935907125473,71184000
2000-01-10,0.08023200694155395,0.08596286604417527,0.07879975159871844,0.08261971175670624,239856000
2000-01-11,0.08214197941872785,0.08309742876289049,0.07927654683589935,0.07927654683589935,148128000
2000-01-12,0.07927651877086225,0.0793966407534234,0.07617268779940939,0.07724733650684357,123552000
2000-01-13,0.07712815986306125,0.08118744105397022,0.07617271057150653,0.08047039806842804,132192000
2000-01-14,0.08166518937139765,0.08727592676297952,0.08142586755641598,0.0839327722787857,604560000
2000-01-18,0.08500742280804023,0.0878728559854177,0.08118746236981846,0.08751524984836578,261648000
2000-01-19,0.0878728525464601,0.0878728525464601,0.08596286898623995,0.08667899668216705,164688000
2000-01-20,0.08739602747301355,0.09217143659167153,0.08572445050837502,0.08644057810306549,179568000
2000-01-21,0.08620126561414028,0.08655978714653663,0.0833358328723858,0.08548513799905777,544272000
2000-01-24,0.08823135074102097,0.08823135074102097,0.08118743768058591,0.08166516572237015,256944000
2000-01-25,0.08202281620520178,0.08285906624774073,0.07832206117858213,0.08094816654920578,237120000
2000-01-26,0.08094810243276257,0.0830974068740757,0.07617269470087953,0.07760494947433472,232464000
2000-01-27,0.0782019046256287,0.0782019046256287,0.07068026896694284,0.07354570180177689,458208000
2000-01-28,0.0725911677526278,0.07306888905040097,0.06853188598516381,0.0713973119854927,194448000
2000-01-31,0.07175492855555636,0.07330730609302945,0.06686031868175947,0.07080040127038956,182400000
2000-02-01,0.07091958994452134,0.0730688882846793,0.06829256347988207,0.07247104495763779,92976000
2000-02-02,0.07282958674540901,0.0759343421977032,0.0724710651057979,0.0745011642575264,149040000
2000-02-03,0.07688884953213834,0.0784412268531401,0.07521727245627549,0.07569500058889389,108240000
2000-02-04,0.0780826903093502,0.0780826903093502,0.07593430779497946,0.07748576253652573,123696000
2000-02-07,0.07784427987952498,0.07784427987952498,0.07259115043019511,0.07271035015583038,217488000
2000-02-08,0.07450118367138621,0.07879978949865048,0.07259120608961755,0.07617276161909103,468816000
2000-02-09,0.07903817508514933,0.08035123095295169,0.07796352562014978,0.07808272540569305,589056000
2000-02-10,0.08285905470982324,0.0955146251374923,0.08285905470982324,0.09408145397901535,970080000
2000-02-11,0.09873761987583442,0.09885774190106482,0.0885898808841429,0.09551458805799484,423792000
2000-02-14,0.0957529887285354,0.110796257853508,0.09479753943959081,0.110796257853508,650112000
2000-02-15,0.11103560951456642,0.11115480928349532,0.1019615954220073,0.1064985990524292,450480000
2000-02-16,0.10769241605283782,0.11509485019733244,0.10649856056838988,0.11139316856861115,1019568000
2000-02-17,0.11127401390830464,0.11605033956658654,0.10960243656221837,0.11533329635858536,535776000
2000-02-18,0.1136617222461318,0.13037748935083612,0.11282639469012823,0.1287059187889099,960864000
2000-02-22,0.12464659755367759,0.1263172521473928,0.12034798765308738,0.12512339651584625,542496000
2000-02-23,0.12369114225904167,0.12715349577366802,0.1221387719454926,0.1258404403924942,511392000
2000-02-24,0.12655664030193428,0.12739196799191585,0.11939260135488972,0.12464665621519089,244320000
